行业,行业细分,公司,涨跌幅,市值
基础材料,化工,华特气体,-0.51,10777200000.0
科技,硬件,上海瀚讯,0.85,10755141000.0
工业,建筑,皖通高速,0.28,10749508000.0
基础材料,化工,凯美特气,-1.32,10739784000.0
基础材料,金属与开采,中色股份,-0.37,10733040000.0
工业,垃圾处理,中再资环,-1.66,10720454000.0
科技,硬件,N鼎阳,0.45,10714671000.0
能源,其他能源,兰花科创,0.0,10692864000.0
工业,工业制品,新莱应材,-0.27,10682315000.0
房地产,房地产开发及服务,信达地产,2.75,10666026000.0
科技,半导体,综艺股份,-4.77,10634000000.0
周期性消费,汽车和配件,江铃Ｂ,-0.18,10624499000.0
医疗保健,生物科技,百奥泰,2.64,10621152000.0
周期性消费,汽车和配件,天润工业,-0.11,10609624000.0
通信服务,传媒,中国出版,0.34,10606950000.0
医疗保健,医疗器械,奥美医疗,6.62,10600864000.0
科技,硬件,东方中科,-0.54,10598738000.0
医疗保健,医药制造,国药现代,1.88,10598271000.0
非周期性消费,农副加工食品,双塔食品,0.12,10593683000.0
工业,建筑,东莞控股,-0.29,10571887000.0
科技,硬件,创维数字,1.12,10557818000.0
工业,工业制品,保变电气,-0.17,10551959000.0
周期性消费,非生活必需品零售商,重庆百货,0.58,10541284000.0
工业,企业集团,亚泰集团,0.31,10526480000.0
金融服务,银行,无锡银行,0.0,10518461000.0
工业,工业制品,中际联合,1.46,10516000000.0
能源,石油与天然气,佛燃能源,-0.45,10510624000.0
工业,交通运输,德邦股份,0.59,10505774000.0
通信服务,传媒,中信国安,9.84,10505134000.0
周期性消费,非生活必需品零售商,菜百股份,2.9,10492223000.0
工业,商业服务,保力新,0.41,10488478000.0
工业,企业集团,ST冠福,3.39,10483561000.0
科技,软件,华宇软件,0.72,10479516000.0
科技,软件,神州数码,0.51,10477327000.0
工业,工业制品,宝通科技,-2.45,10466607000.0
公用事业,公共事业 - 管制,华银电力,0.86,10455199000.0
通信服务,通信,鹏博士,0.16,10454702000.0
基础材料,化工,奥克股份,1.05,10453110000.0
工业,建筑,龙元建设,1.94,10448246000.0
周期性消费,服饰加工,华懋科技,-1.1,10441740000.0
公用事业,公共事业 - 管制,新天然气,-0.36,10441183000.0
工业,工业制品,杰克股份,1.96,10437782000.0
科技,软件,联络互动,-0.21,10428547000.0
基础材料,化工,铂科新材,-2.1,10416077000.0
科技,硬件,漫步者,0.17,10411459000.0
医疗保健,生物科技,奥翔药业,0.08,10399736000.0
工业,工业制品,科瑞技术,-0.04,10398150000.0
工业,工业制品,沃尔核材,0.37,10381611000.0
工业,航空航天和国防,科思科技,1.85,10380669000.0
公用事业,公共事业 - 管制,苏文电能,-0.04,10379391000.0
房地产,房地产开发及服务,城投控股,0.49,10371261000.0
医疗保健,医药制造,拓新药业,-2.01,10371010000.0
金融服务,银行,张家港行,0.17,10359660000.0
医疗保健,医药制造,一品红,7.16,10358316000.0
科技,软件,诚迈科技,1.97,10350126000.0
科技,硬件,中航电测,-0.17,10344216000.0
工业,农用和重型工程机械,山河智能,-0.11,10328531000.0
非周期性消费,教育,拓维信息,0.24,10321107000.0
工业,工业制品,长城科技,-2.59,10315591000.0
科技,软件,中孚信息,-6.41,10286205000.0
周期性消费,服饰加工,伟星股份,-0.85,10268200000.0
工业,建筑,清新环境,0.0,10261200000.0
周期性消费,非生活必需品零售商,*ST大集,-5.0,10229227000.0
周期性消费,非生活必需品零售商,皖新传媒,0.0,10224512000.0
工业,航空航天和国防,海特高新,0.07,10209111000.0
医疗保健,生物科技,葫芦娃,3.08,10186768000.0
房地产,房地产开发及服务,城建发展,0.22,10176984000.0
科技,硬件,宇瞳光学,0.09,10168256000.0
基础材料,化工,镇洋发展,-2.63,10156928000.0
工业,建筑,永福股份,1.16,10151730000.0
基础材料,建筑材料,西部建设,-0.12,10149328000.0
科技,软件,科蓝软件,0.74,10122729000.0
工业,建筑,金圆股份,2.05,10118934000.0
能源,其他能源,ST大有,1.68,10113137000.0
工业,工业制品,东威科技,-0.22,10105280000.0
周期性消费,非生活必需品零售商,家家悦,1.47,10093373000.0
工业,工业制品,中熔电气,1.96,10091400000.0
科技,软件,财富趋势,2.38,10083171000.0
医疗保健,医药制造,众生药业,4.92,10083029000.0
科技,硬件,雷科防务,1.63,10059347000.0
医疗保健,生物科技,之江生物,0.0,10058427000.0
工业,工业制品,聚灿光电,-0.8,10057144000.0
周期性消费,家具制造,亚厦股份,0.0,10049974000.0
科技,硬件,海能达,0.91,10042921000.0
医疗保健,医疗机构和服务,漱玉平民,1.9,10020004000.0
周期性消费,汽车和配件,贵航股份,2.74,10010749000.0
工业,工业制品,鸣志电器,-2.66,9991523000.0
周期性消费,家具制造,小熊电器,0.54,9988949000.0
工业,工业制品,中船应急,-1.24,9978803000.0
基础材料,化工,天原股份,4.42,9971544000.0
基础材料,农业,*ST金正,-2.26,9956664000.0
医疗保健,生物科技,桂林三金,4.39,9950514000.0
工业,工业制品,中粮工科,2.16,9948476000.0
公用事业,公共事业 - 管制,大众公用,0.8,9919570000.0
工业,工业制品,中科微至,1.54,9915399000.0
基础材料,金属与开采,英洛华,-1.35,9908553000.0
工业,工业制品,伊之密,-1.91,9904325000.0
医疗保健,医药制造,尔康制药,2.79,9901078000.0
工业,工业制品,凌霄泵业,1.72,9899902000.0
工业,工业分销,五矿发展,0.88,9883017000.0
科技,软件,智度股份,-0.77,9880261000.0
周期性消费,服饰加工,正威新材,0.14,9867634000.0
周期性消费,包装和容器,集友股份,0.5,9851991000.0
非周期性消费,酒精饮料,青青稞酒,-0.91,9824584000.0
基础材料,农业,泸天化,-0.32,9800050000.0
基础材料,金属与开采,怡球资源,-0.45,9796739000.0
工业,交通运输,恒通股份,-0.43,9793728000.0
医疗保健,医药制造,葵花药业,4.95,9787840000.0
工业,建筑,航天工程,2.35,9787178000.0
科技,硬件,意华股份,4.29,9772240000.0
科技,硬件,洲明科技,0.0,9759278000.0
周期性消费,汽车和配件,银轮股份,1.65,9758481000.0
科技,半导体,力芯微,0.16,9757440000.0
科技,半导体,灿勤科技,1.67,9756000000.0
能源,石油与天然气,招商南油,0.0,9754096000.0
周期性消费,非生活必需品零售商,丽人丽妆,1.34,9749228000.0
工业,工业制品,弘亚数控,0.06,9742096000.0
周期性消费,汽车和配件,海马汽车,1.03,9719970000.0
工业,企业集团,泛海控股,-0.53,9716895000.0
基础材料,建筑材料,万年青,-0.57,9704376000.0
工业,工业制品,科德数控,2.5,9703412000.0
科技,硬件,大富科技,-0.55,9701175000.0
公用事业,公共事业 - 管制,豫能控股,0.28,9692453000.0
通信服务,交互式媒体,天神娱乐,10.0,9691111000.0
工业,工业制品,江苏神通,2.57,9690835000.0
周期性消费,旅游和娱乐,珠江钢琴,-0.97,9684692000.0
医疗保健,医药制造,海王生物,2.33,9682934000.0
医疗保健,医疗器械,普门科技,0.13,9672602000.0
科技,硬件,信濠光电,-0.06,9668802000.0
非周期性消费,农副加工食品,味知香,1.46,9668000000.0
公用事业,公共事业 - 管制,文山电力,0.55,9661448000.0
工业,航空航天和国防,航宇科技,-1.64,9660000000.0
科技,硬件,汉威科技,5.53,9643671000.0
工业,工业制品,鲁信创投,2.78,9639453000.0
基础材料,钢铁和焦煤,广大特材,4.12,9636515000.0
工业,工业制品,合兴股份,0.84,9624000000.0
科技,硬件,海兰信,-1.16,9619276000.0
工业,建筑,山东路桥,0.33,9613083000.0
工业,航空航天和国防,中天火箭,1.2,9604798000.0
科技,硬件,立达信,0.58,9600000000.0
工业,农用和重型工程机械,太原重工,1.41,9599448000.0
科技,硬件,四川九洲,-2.49,9594435000.0
周期性消费,服饰加工,爱慕股份,-0.13,9580240000.0
周期性消费,汽车和配件,海达股份,-0.5,9577691000.0
工业,航空航天和国防,航发科技,0.38,9577053000.0
基础材料,金属与开采,未来股份,-1.07,9573019000.0
科技,半导体,拓日新能,1.04,9566149000.0
医疗保健,医药制造,阳光诺和,-1.27,9564800000.0
周期性消费,汽车和配件,旷达科技,6.39,9545743000.0
医疗保健,医疗器械,康德莱,0.32,9542305000.0
周期性消费,汽车和配件,钧达股份,4.41,9519967000.0
基础材料,钢铁和焦煤,八一钢铁,-0.8,9519296000.0
基础材料,化工,联瑞新材,0.36,9496621000.0
科技,硬件,智光电气,0.92,9485015000.0
医疗保健,医药制造,九芝堂,2.54,9484655000.0
周期性消费,汽车和配件,泉峰汽车,1.01,9474593000.0
通信服务,传媒,电广传媒,-0.15,9469277000.0
基础材料,化工,长鸿高科,1.03,9462263000.0
工业,工业制品,克来机电,-0.38,9461847000.0
基础材料,化工,海南发展,0.0,9449747000.0
工业,交通运输,淮河能源,-0.41,9443614000.0
工业,工业制品,天壕环境,-0.46,9436248000.0
基础材料,化工,长阳科技,1.85,9433673000.0
医疗保健,医药制造,精华制药,10.05,9426971000.0
医疗保健,生物科技,成都先导,1.16,9423993000.0
工业,工业制品,隆华科技,0.0,9416479000.0
周期性消费,家具制造,志邦家居,-2.56,9403618000.0
非周期性消费,农副加工食品,禾丰股份,0.0,9394774000.0
基础材料,化工,松井股份,2.35,9384840000.0
基础材料,化工,索通发展,0.39,9373490000.0
工业,工业制品,万马股份,1.91,9371176000.0
基础材料,金属与开采,亚太科技,-0.41,9363802000.0
科技,软件,博思软件,0.9,9361129000.0
工业,工业制品,长城军工,-0.23,9357031000.0
工业,工业制品,金通灵,0.48,9336988000.0
医疗保健,生物科技,海利生物,4.17,9331560000.0
通信服务,传媒,奥飞娱乐,-2.62,9330595000.0
能源,石油与天然气,厚普股份,-0.43,9325890000.0
工业,农用和重型工程机械,河钢资源,0.21,9314428000.0
工业,商业服务,谱尼测试,2.62,9305246000.0
工业,农用和重型工程机械,安徽合力,0.56,9304073000.0
周期性消费,汽车和配件,阿尔特,-0.96,9298984000.0
周期性消费,家具制造,富森美,0.48,9295786000.0
科技,软件,赢时胜,2.57,9295480000.0
基础材料,钢铁和焦煤,新日恒力,0.97,9280175000.0
公用事业,公共事业 - 独立发电商,甘肃电投,2.56,9272313000.0
周期性消费,旅游和娱乐,久祺股份,-2.24,9270684000.0
科技,半导体,蓝特光学,2.68,9265435000.0
工业,工业制品,精研科技,-0.75,9251080000.0
周期性消费,服饰加工,地素时尚,-0.16,9248664000.0
通信服务,交互式媒体,凯撒文化,4.32,9241385000.0
工业,工业制品,科大智能,1.2,9238068000.0
公用事业,公共事业 - 管制,成都燃气,0.1,9235567000.0
周期性消费,服饰加工,德展健康,2.23,9234906000.0
基础材料,化工,东方材料,6.52,9234294000.0
工业,工业制品,光力科技,0.82,9227047000.0
工业,工业制品,奥海科技,0.85,9225320000.0
工业,工业制品,龙净环保,1.18,9193956000.0
科技,软件,左江科技,-2.81,9185158000.0
基础材料,林业,五洲特纸,-2.34,9184229000.0
医疗保健,医疗器械,翔宇医疗,4.27,9179200000.0
基础材料,金属与开采,焦作万方,-0.39,9168059000.0
科技,硬件,高新兴,0.57,9158112000.0
医疗保健,生物科技,富祥药业,2.02,9157469000.0
科技,软件,启明信息,-9.42,9147786000.0
周期性消费,非生活必需品零售商,N新华,9.99,9145640000.0
周期性消费,旅游和娱乐,亚光科技,0.11,9139189000.0
基础材料,化工,利安隆,0.07,9137325000.0
医疗保健,医疗器械,盈康生命,0.28,9131578000.0
工业,工业制品,天奇股份,-0.58,9122217000.0
周期性消费,旅游和娱乐,姚记科技,4.34,9120377000.0
工业,工业制品,秦川机床,0.4,9110663000.0
医疗保健,医药制造,江中药业,5.71,9097200000.0
工业,企业集团,中广核技,1.16,9085543000.0
公用事业,公共事业 - 管制,建投能源,-0.39,9083546000.0
周期性消费,汽车和配件,精进电动,0.85,9077610000.0
工业,工业制品,中密控股,-0.39,9074283000.0
基础材料,林业,冠豪高新,-0.2,9047178000.0
能源,其他能源,蓝焰控股,0.11,9046139000.0
基础材料,金属与开采,西部材料,0.43,9036868000.0
非周期性消费,农副加工食品,仙坛股份,9.96,9027051000.0
